00TI               20241203                                                                                   
0601TIA0N       20250101001200100000005000 0000000000001680   
0601TIA0N       20250101001205100000005000 0000000000001680   
0601TIA0N       20250101001210100000005000 0000000000001690   
0601TIA0N       20250101001215100000005000 0000000000001690   
0601TIA0N       20250101001220100000005000 0000000000001700   
0601TIA0N       20250101001225100000005000 0000000000001700   
0601TIA0N       20250101001230100000005000 0000000000001710   
0601TIA0N       20250101001235100000005000 0000000000001710   
0601TIA0N       20250101001240100000005000 0000000000001720   
0601TIA0N       20250101001245100000005000 0000000000001720   
0601TIA0N       20250101001250100000005000 0000000000001730   
0601TIA0N       20250101001255100000005000 0000000000001730   
0601TIA0N       20250101001260100000005000 0000000000001730   
0601TIA0N       20250101001265100000005000 0000000000001740   
0601TIA0N       20250101001270100000005000 0000000000001740   
0601TIA0N       20250101001275100000005000 0000000000001750   
0601TIA0N       20250101001280100000005000 0000000000001750   
0601TIA0N       20250101001285100000005000 0000000000001760   
0601TIA0N       20250101001290100000005000 0000000000001760   
0601TIA0N       20250101001295100000005000 0000000000001760   
0601TIA0N       20250101001300100000005000 0000000000001770   
0601TIA0N       20250101001305100000005000 0000000000001770   
0601TIA0N       20250101001310100000005000 0000000000001780   
0601TIA0N       20250101001315100000005000 0000000000001780   
0601TIA0N       20250101001320100000005000 0000000000001780   
0601TIA0N       20250101001325100000005000 0000000000001790   
0601TIA0N       20250101001330100000005000 0000000000001790   
0601TIA0N       20250101001335100000005000 0000000000001800   
0601TIA0N       20250101001340100000005000 0000000000001800   
0601TIA0N       20250101001345100000005000 0000000000001800   
0601TIA0N       20250101001350100000005000 0000000000001810   
0601TIA0N       20250101001355100000005000 0000000000001810   
0601TIA0N       20250101001360100000005000 0000000000001820   
0601TIA0N       20250101001365100000005000 0000000000001820   
0601TIA0N       20250101001370100000005000 0000000000001820   
0601TIA0N       20250101001375100000005000 0000000000001830   
0601TIA0N       20250101001380100000005000 0000000000001830   
0601TIA0N       20250101001385100000005000 0000000000001830   
0601TIA0N       20250101001390100000005000 0000000000001840   
0601TIA0N       20250101001395100000005000 0000000000001840   
0601TIA0N       20250101001400100000005000 0000000000001850   
0601TIA0N       20250101001405100000005000 0000000000001850   
