00BE               20231130                                                                                   
0601BEA0N       20240101002500100000005000 0000000000002712   
0601BEA0N       20240101002505100000005000 0000000000002713   
0601BEA0N       20240101002510100000005000 0000000000002715   
0601BEA0N       20240101002515100000005000 0000000000002717   
0601BEA0N       20240101002520100000005000 0000000000002720   
0601BEA0N       20240101002525100000005000 0000000000002721   
0601BEA0N       20240101002530100000005000 0000000000002723   
0601BEA0N       20240101002535100000005000 0000000000002726   
0601BEA0N       20240101002540100000005000 0000000000002728   
0601BEA0N       20240101002545100000005000 0000000000002729   
0601BEA0N       20240101002550100000005000 0000000000002732   
0601BEA0N       20240101002555100000005000 0000000000002734   
0601BEA0N       20240101002560100000005000 0000000000002735   
0601BEA0N       20240101002565100000005000 0000000000002738   
0601BEA0N       20240101002570100000005000 0000000000002740   
0601BEA0N       20240101002575100000005000 0000000000002741   
0601BEA0N       20240101002580100000005000 0000000000002744   
0601BEA0N       20240101002585100000005000 0000000000002746   
0601BEA0N       20240101002590100000005000 0000000000002747   
0601BEA0N       20240101002595100000005000 0000000000002750   
0601BEA0N       20240101002600100000005000 0000000000002752   
0601BEA0N       20240101002605100000005000 0000000000002753   
0601BEA0N       20240101002610100000005000 0000000000002756   
0601BEA0N       20240101002615100000005000 0000000000002757   
0601BEA0N       20240101002620100000005000 0000000000002759   
0601BEA0N       20240101002625100000005000 0000000000002762   
0601BEA0N       20240101002630100000005000 0000000000002763   
0601BEA0N       20240101002635100000005000 0000000000002765   
0601BEA0N       20240101002640100000005000 0000000000002767   
0601BEA0N       20240101002645100000005000 0000000000002769   
0601BEA0N       20240101002650100000005000 0000000000002770   
0601BEA0N       20240101002655100000005000 0000000000002773   
0601BEA0N       20240101002660100000005000 0000000000002774   
0601BEA0N       20240101002665100000005000 0000000000002776   
0601BEA0N       20240101002670100000005000 0000000000002778   
0601BEA0N       20240101002675100000005000 0000000000002780   
